IP,Origin,Start Date,End Date,Downtime(mins),Uptime(mins)
172.16.18.78,VIP-FWINT_POLYCOM,14-11-2022,21-11-2022,0,10080
172.16.19.4,VIP-FWCLUSTERINTMD,14-11-2022,21-11-2022,0,10080
172.16.19.22,VIP-FWCLUSTERODCMD,14-11-2022,21-11-2022,0,10080
172.16.23.36,VIP-FWFTK-INT,14-11-2022,21-11-2022,0,10080
172.16.23.4,VIP-FWFTK-ODC,14-11-2022,21-11-2022,2,10078
172.16.23.44,VIP-FWFTK-HS,14-11-2022,21-11-2022,0,10080
172.16.21.46,VIP-FWDR-HS,14-11-2022,21-11-2022,0,10080
172.16.21.30,VIP-FWDR-INT,14-11-2022,21-11-2022,0,10080
172.16.21.62,VIP-FWDRODC,14-11-2022,21-11-2022,0,10080
172.16.22.38,VIP-FWFQN_INT,14-11-2022,21-11-2022,1,10079
172.16.22.1,VIP-FWFQN_ODC,14-11-2022,21-11-2022,1,10079
172.16.22.78,VIP-FW-SDWAN,14-11-2022,21-11-2022,1,10079
172.16.22.41,VIP-FWFQN-HS,14-11-2022,21-11-2022,2,10078
172.16.17.22,VIP-FWINT,14-11-2022,21-11-2022,0,10080
172.16.17.246,VIP-FWINTLBL,14-11-2022,21-11-2022,1,10079
172.16.18.150,VIP-FWGWINTERNETR77.30,14-11-2022,21-11-2022,0,10080
172.16.18.214,VIP-FWIPS,14-11-2022,21-11-2022,0,10080
172.16.17.6,VIP-FWINTREC,14-11-2022,21-11-2022,0,10080
172.16.18.99,VIP-FWCLUSFARM77.30,14-11-2022,21-11-2022,0,10080
172.16.18.222,VIP-FWCLUSFCODC,14-11-2022,21-11-2022,0,10080
172.16.18.118,VIP-FWODCPBR77.30,14-11-2022,21-11-2022,0,10080
172.16.18.14,VIP-FWODCLSTR77.30,14-11-2022,21-11-2022,0,10080
172.16.18.198,VIP-FWIPS-INT,14-11-2022,21-11-2022,0,10080
172.16.18.206,VIP-FWIPS-ODC,14-11-2022,21-11-2022,8,10072
172.16.18.254,VIP-FW.FCINT01,14-11-2022,21-11-2022,0,10080
172.16.22.30,FWFQN-MPLS,14-11-2022,21-11-2022,2,10078
172.16.22.54,FWFQN-MPLS-VPNS2S,14-11-2022,21-11-2022,1,10079
172.16.23.28,FWFTK-MPLS,14-11-2022,21-11-2022,0,10080
172.16.23.62,FWFTK-VPNS2S,14-11-2022,21-11-2022,0,10080
